A,PASSTD,Name,RECYDS,RUSHTD,Rank,PPRPTS,C,RUSH,RUSHYDS,PASSYDS,Position,REC,RECTD,INT,Team
0,0,Vance McDonald,445.5,0,293,97.6,0,0,0,0,TE,37.3,2.7,0,SF
0,0,Kenny Bell,257.2,0,294,56.9,0,0,0,0,WR,21,1.8,0,TB
0,0,Rashad Greene,299.5,0,295,84.8,0,0,0,0,WR,34.9,2.8,0,Jax
303.7,10.8,Paxton Lynch,0,0.9,296,117.2,174.4,25.8,104.6,2034.7,QB,0,0,9.6,Den
0,0,Buccaneers D/ST,0,0,297,101.5,0,0,0,0,D/ST,0,0,0,/S
0,0,Bears D/ST,0,0,298,91.9,0,0,0,0,D/ST,0,0,0,/S
0,0,Lions D/ST,0,0,299,92.7,0,0,0,0,D/ST,0,0,0,/S
0,0,Redskins D/ST,0,0,300,84.5,0,0,0,0,D/ST,0,0,0,/S
0,0,Phil Dawson,0,0,301,110.2,0,0,0,0,K,0,0,0,SF
0,0,Sebastian Janikowski,0,0,302,116.6,0,0,0,0,K,0,0,0,Oak
--,--,Jay Feely,--,--,303,0,--,--,--,--,K,--,--,--,FA
--,--,Mike Vick,--,--,304,0,--,--,--,--,QB,--,--,--,Pit
--,--,Shayne Graham,--,--,305,0,--,--,--,--,K,--,--,--,Atl
101.3,3.8,Josh McCown,0,0.3,306,38.8,59,8.6,36,681,QB,0,0,2.7,Cle
--,--,Billy Cundiff,--,--,307,0,--,--,--,--,K,--,--,--,Cle
2.5,0.1,Shaun Hill,0,0,308,0.2,1.5,0.1,0.4,16.8,QB,0,0,0.1,Min
--,--,Andre Johnson,--,--,309,0,--,--,--,--,WR,--,--,--,Ten
--,--,Kellen Winslow,--,--,310,0,--,--,--,--,TE,--,--,--,NYJ
--,--,Steven Jackson,--,--,311,0,--,--,--,--,RB,--,--,--,NE
3,0.1,Matt Schaub,0,0,312,0.2,1.8,0.1,0.4,19.9,QB,0,0,0.1,Atl
3.1,0.1,Luke McCown,0,0,313,0.3,1.9,0.1,0.5,20.5,QB,0,0,0.1,NO
--,--,Jerricho Cotchery,--,--,314,0,--,--,--,--,WR,--,--,--,Car
0,0,Josh Scobee,0,0,315,123.0,0,0,0,0,K,0,0,0,NO
--,--,Wes Welker,--,--,316,0,--,--,--,--,WR,--,--,--,LA
--,--,Roddy White,--,--,317,0,--,--,--,--,WR,--,--,--,Atl
0,0,Mike Nugent,0,0,318,117.7,0,0,0,0,K,0,0,0,Cin
--,--,Alex Smith,--,--,319,0,--,--,--,--,TE,--,--,--,Wsh
3.1,0.1,Dan Orlovsky,0,0,320,0.2,1.9,0.1,0.5,20.7,QB,0,0,0.1,Det
2.7,0.1,Derek Anderson,0,0,321,0.4,1.6,0.1,0.4,17,QB,0,0,0.1,Car
15.5,0.6,Matt Cassel,0,0,322,5.1,9.3,0.9,3.5,104.2,QB,0,0,0.6,Ten
--,--,Joshua Cribbs,--,--,323,0,--,--,--,--,WR,--,--,--,Ind
0,0,Nate Washington,0,0,324,0.0,0,0,0,0,WR,0,0,0,NE
0,0,Shaun Suisham,0,0,325,0.0,0,0,0,0,K,0,0,0,Pit
--,--,Lance Moore,--,--,326,0,--,--,--,--,WR,--,--,--,Det
--,--,John Kuhn,--,--,327,0,--,--,--,--,RB,--,--,--,GB
--,--,Reggie Bush,--,--,328,0,--,--,--,--,RB,--,--,--,Buf
0,0,Vernon Davis,83,0,329,19.9,0,0,0,0,TE,7.6,0.7,0,Wsh
0,0,Marcedes Lewis,192.1,0,330,46.2,0,0,0,0,TE,15.7,1.9,0,Jax
0,0,Kellen Clemens,0,0,331,0.0,0,0,0,0,QB,0,0,0,SD
--,--,Greg Jennings,--,--,332,0,--,--,--,--,WR,--,--,--,Mia
0,0,Anthony Fasano,138,0,333,33.4,0,0,0,0,TE,12.6,1.3,0,Ten
0,0,Devin Hester,0,0,334,4.7,0,0,0,0,WR,0,0,0,Atl
--,--,Tarvaris Jackson,--,--,335,0,--,--,--,--,QB,--,--,--,Sea
--,--,Charlie Whitehurst,--,--,336,0,--,--,--,--,QB,--,--,--,Ind
--,--,Derek Hagan,--,--,337,0,--,--,--,--,WR,--,--,--,Ten
--,--,Owen Daniels,--,--,338,0,--,--,--,--,TE,--,--,--,Den
--,--,Jason Avant,--,--,339,0,--,--,--,--,WR,--,--,--,KC
0,0,Bruce Gradkowski,0,0,340,0.0,0,0,0,0,QB,0,0,0,Pit
--,--,Marques Colston,--,--,341,0,--,--,--,--,WR,--,--,--,NO
--,--,Miles Austin,--,--,342,0,--,--,--,--,WR,--,--,--,Phi
--,--,Fred Jackson,--,--,343,0,--,--,--,--,RB,--,--,--,Sea
--,--,Daniel Fells,--,--,344,0,--,--,--,--,TE,--,--,--,NYG
--,--,Calvin Johnson,--,--,345,0,--,--,--,--,WR,--,--,--,Det
--,--,Marshawn Lynch,--,--,346,0,--,--,--,--,RB,--,--,--,Sea
--,--,Dwayne Bowe,--,--,347,0,--,--,--,--,WR,--,--,--,Cle
16.3,0.8,Drew Stanton,0,0,348,6.5,9.2,0.9,3.6,107.3,QB,0,0,0.5,Ari
--,--,Jacoby Jones,--,--,349,0,--,--,--,--,WR,--,--,--,Pit
0,0,Matt Spaeth,22,0,350,5.3,0,0,0,0,TE,2,0.2,0,Pit
--,--,James Jones,--,--,351,0,--,--,--,--,WR,--,--,--,GB
--,--,Scott Chandler,--,--,352,0,--,--,--,--,TE,--,--,--,NE
0,0,Brent Celek,283.8,0,353,61.3,0,0,0,0,TE,22.7,1.8,0,Phi
0,0,Nick Folk,0,0,354,114.3,0,0,0,0,K,0,0,0,NYJ
--,--,Clark Harris,--,--,355,0,--,--,--,--,TE,--,--,--,Cin
--,--,Ahmad Bradshaw,--,--,356,0,--,--,--,--,RB,--,--,--,Ind
--,--,Pierre Thomas,--,--,357,0,--,--,--,--,RB,--,--,--,Wsh
0,0,Eric Weems,0,0,358,0.4,0,0,0,0,WR,0,0,0,Atl
2.9,0.1,Matt Moore,0,0,359,0.2,1.7,0.1,0.4,19,QB,0,0,0.1,Mia
0,0,Jerome Simpson,200.7,0,360,39.9,0,0,0,0,WR,14.7,0.9,0,SF
--,--,Fred Davis,--,--,361,0,--,--,--,--,TE,--,--,--,Wsh
--,--,Ray Rice,--,--,362,0,--,--,--,--,RB,--,--,--,FA
2.9,0.2,Chad Henne,0,0,363,0.4,1.7,0.1,0.4,18.6,QB,0,0,0.1,Jax
0,0,Harry Douglas,0,0,364,0.3,0,0,0,0,WR,0,0,0,Ten
0,0,Craig Stevens,70,0,365,15.2,0,0,0,0,TE,6.2,0.5,0,Ten
0,0,Andre Jerome Caldwell,0,0,366,0.0,0,0,0,0,WR,0,0,0,Det
0,0,Jerome Felton,11.8,0,367,3.2,0,0,0,0,RB,1.6,0.1,0,Buf
0,0,Matthew Slater,0,0,368,0.0,0,0,0,0,WR,0,0,0,NE
0,0,Kellen Davis,38.9,0,369,8.6,0,0,0,0,TE,3.6,0.3,0,NYJ
0,0,Josh Johnson,0,0,370,0.0,0,0,0,0,QB,0,0,0,Bal
--,--,Matt Flynn,--,--,371,0,--,--,--,--,QB,--,--,--,NO
--,--,Garrett Hartley,--,--,372,0,--,--,--,--,K,--,--,--,Pit
0,0,Mike Tolbert,125,3,373,69.6,0,57.2,209.6,0,RB,15.4,0.9,0,Car
0,0,Danny Amendola,133.7,0.1,374,31.9,0,2,12.4,0,WR,10.4,1,0,NE
0,0,Dan Carpenter,0,0,375,118.8,0,0,0,0,K,0,0,0,Buf
0,0,Matthew Mulligan,0,0,376,0.0,0,0,0,0,TE,0,0,0,Det
0,0,Marcel Reece,86.2,0.3,377,28.7,0,8.2,26.9,0,RB,12,0.8,0,Oak
0,0,Connor Barth,0,0,378,114.1,0,0,0,0,K,0,0,0,NO
37,1.5,Chase Daniel,0,0.1,379,15.1,22.7,3.5,14.2,247,QB,0,0,0.8,Phi
--,--,Josh Freeman,--,--,380,0,--,--,--,--,QB,--,--,--,Ind
38.3,1.6,Brian Hoyer,0,0,381,14.7,22,0.6,2.5,284.9,QB,0,0,1.2,Chi
205.6,7.4,Mark Sanchez,0,0.5,382,75.3,121.2,14.3,57.7,1408.3,QB,0,0,8.1,Den
0,0,Donald Brown,0,0,383,0.0,0,0,0,0,RB,0,0,0,NE
0,0,David Johnson,0,0,384,0.0,0,0,0,0,TE,0,0,0,SD
--,--,Jorvorskie Lane,--,--,385,0,--,--,--,--,RB,--,--,--,TB
--,--,Knowshon Moreno,--,--,386,0,--,--,--,--,RB,--,--,--,FA
0,0,Cedric Peerman,0,0.1,387,1.7,0,4.1,16.2,0,RB,0,0,0,Cin
--,--,Marcus Thigpen,--,--,388,0,--,--,--,--,RB,--,--,--,Buf
--,--,James Casey,--,--,389,0,--,--,--,--,TE,--,--,--,Den
--,--,Chase Coffman,--,--,390,0,--,--,--,--,TE,--,--,--,Ind
--,--,Bear Pascoe,--,--,391,0,--,--,--,--,TE,--,--,--,NE
0,0,Brandon Pettigrew,134,0,392,31.4,0,0,0,0,TE,11.8,1.1,0,Det
--,--,John Phillips,--,--,393,0,--,--,--,--,TE,--,--,--,SD
--,--,Brandon Gibson,--,--,394,0,--,--,--,--,WR,--,--,--,NE
0,0,Brian Hartline,356,0,395,71.7,0,0,0,0,WR,27.8,1.5,0,Cle
--,--,Percy Harvin,--,--,396,0,--,--,--,--,WR,--,--,--,Buf
0,0,Darrius Heyward-Bey,212.2,0,397,45.8,0,0,0,0,WR,14.9,1.6,0,Pit
0,0,Louis Murphy,37.1,0,398,7.5,0,0,0,0,WR,3,0.3,0,TB
--,--,Hakeem Nicks,--,--,399,0,--,--,--,--,WR,--,--,--,NO
0,0,Jordan Norwood,166.5,0,400,38.7,0,0,0,0,WR,15.2,0.9,0,Den
--,--,Kevin Ogletree,--,--,401,0,--,--,--,--,WR,--,--,--,NYG
0,0,Brandon Tate,39.3,0,402,8.8,0,0,0,0,WR,3,0.3,0,Cin
0,0,Brandon Myers,35.6,0,403,8.4,0,0,0,0,TE,3.4,0.3,0,TB
0,0,Ryan Succop,0,0,404,104.5,0,0,0,0,K,0,0,0,Ten
--,--,Darrel Young,--,--,405,0,--,--,--,--,RB,--,--,--,Wsh
--,--,Antone Smith,--,--,406,0,--,--,--,--,RB,--,--,--,Chi
--,--,Jimmy Clausen,--,--,407,0,--,--,--,--,QB,--,--,--,Bal
2.9,0.1,Colt McCoy,0,0,408,0.3,1.7,0.1,0.4,19.3,QB,0,0,0.1,Wsh
--,--,Tim Tebow,--,--,409,0,--,--,--,--,QB,--,--,--,FA
0,0,Dan LeFevour,0,0,410,0.0,0,0,0,0,QB,0,0,0,TB
--,--,Ben Tate,--,--,411,0,--,--,--,--,RB,--,--,--,Pit
--,--,Toby Gerhart,--,--,412,0,--,--,--,--,RB,--,--,--,Jax
--,--,Boobie Dixon,--,--,413,0,--,--,--,--,RB,--,--,--,Buf
0,0,Arrelious Benn,0,0,414,0.0,0,0,0,0,WR,0,0,0,Jax
0,0,Marcus Easley,16.3,0,415,3.0,0,0,0,0,WR,1.3,0.1,0,Buf
--,--,Riley Cooper,--,--,416,0,--,--,--,--,WR,--,--,--,Phi
0,0,Andre Roberts,0,0,417,0.0,0,0,0,0,WR,0,0,0,Det
0,0,Jermaine Gresham,188.9,0,418,48.5,0,0,0,0,TE,19.9,1.9,0,Ari
0,0,Dennis Pitta,0,0,419,0.0,0,0,0,0,TE,0,0,0,Bal
0,0,Ed Dickson,140.9,0,420,33.6,0,0,0,0,TE,13,1.1,0,Car
0,0,Tony Moeaki,0,0,421,0.0,0,0,0,0,TE,0,0,0,Chi
0,0,Jim Dray,31.1,0,422,7.6,0,0,0,0,TE,2.9,0.3,0,Buf
0,0,Garrett Graham,35.1,0,423,7.7,0,0,0,0,TE,3.2,0.3,0,Den
0,0,Clay Harbor,42.5,0,424,10.4,0,0,0,0,TE,3.9,0.4,0,NE
0,0,Michael Hoomanawanui,95.2,0,425,23.0,0,0,0,0,TE,8.8,0.9,0,NO
0,0,Marc Mariani,0,0,426,2.3,0,0,0,0,WR,0,0,0,Chi
--,--,Anthony McCoy,--,--,427,0,--,--,--,--,TE,--,--,--,Sea
--,--,Andrew Quarless,--,--,428,0,--,--,--,--,TE,--,--,--,GB
0,0,Joe Webb,0,0,429,0.4,0,0,0,0,QB,0,0,0,Car
0,0,Kyle Williams,0,0,430,0.0,0,0,0,0,WR,0,0,0,NYJ
0,0,Mike Williams,0,0,431,0.0,0,0,0,0,WR,0,0,0,KC
--,--,Seyi Ajirotutu,--,--,432,0,--,--,--,--,WR,--,--,--,Phi
--,--,Joique Bell,--,--,433,0,--,--,--,--,RB,--,--,--,Det
--,--,Richie Brockel,--,--,434,0,--,--,--,--,TE,--,--,--,Car
0,0,Jeff Cumberland,43.5,0,435,10.2,0,0,0,0,TE,4,0.4,0,SD
0,0,Thaddeus Lewis,0,0,436,0.0,0,0,0,0,QB,0,0,0,SF
0,0,Marlon Moore,0,0,437,0.0,0,0,0,0,WR,0,0,0,Cle
0,0,Bryan Walters,19.2,0,438,3.3,0,0,0,0,WR,1.5,0.1,0,Jax
--,--,Preston Parker,--,--,439,0,--,--,--,--,WR,--,--,--,FA
0,0,Logan Paulsen,41.5,0,440,9.9,0,0,0,0,TE,3.8,0.4,0,Wsh
