Name,Position,Rank,Team,RUSH,RUSHYDS,RUSHTD,REC,RECYDS,RECTD,C,A,PASSYDS,PASSTD,INT,PTS,FLOOR,CEILING,INJURY
Chris Thompson,RB,239,Wsh,36.8,168.9,0.7,25.5,211.8,0.8,0,0,0,0,0,45.6,FLOOR,CEILING,INJURY
Benjamin Cunningham,RB,240,LA,17.1,70.1,0.5,20.8,171.4,0.5,0,0,0,0,0,30.2,FLOOR,CEILING,INJURY
Stevan Ridley,RB,241,Det,53.7,221.4,1.4,4.5,34.7,0.1,0,0,0,0,0,33.8,FLOOR,CEILING,INJURY
Zach Zenner,RB,242,Det,17.9,71.6,0.7,2.2,17.3,0.1,0,0,0,0,0,12.6,FLOOR,CEILING,INJURY
Joe Flacco,QB,243,Bal,27.9,47.8,1.2,0,0,0,363.8,605.2,4111.3,25.4,15.8,239.7,FLOOR,CEILING,INJURY
Benjamin Watson,TE,244,Bal,0,0,0,29.4,317.3,2.5,0,0,0,0,0,45.9,FLOOR,CEILING,INJURY
Jared Cook,TE,245,GB,0,0,0,37.8,471.5,4.2,0,0,0,0,0,71.8,FLOOR,CEILING,INJURY
Alfred Blue,RB,246,Hou,26.5,104.5,0.6,4.1,30.2,0.1,0,0,0,0,0,17.3,FLOOR,CEILING,INJURY
Josh Ferguson,RB,247,Ind,86.2,344,1.4,21.4,164.2,0.9,0,0,0,0,0,62.2,FLOOR,CEILING,INJURY
Dexter McCluster,RB,248,Ten,21.3,90.1,0.6,17.7,157.8,0.7,0,0,0,0,0,34.7,FLOOR,CEILING,INJURY
Brandon LaFell,WR,249,Cin,0,0,0,39.9,523.8,3.1,0,0,0,0,0,70.3,FLOOR,CEILING,INJURY
Rashard Higgins,WR,250,Cle,0,0,0,17.8,234.6,1.3,0,0,0,0,0,30.6,FLOOR,CEILING,INJURY
J.J. Nelson,WR,251,Ari,2.2,13.3,0.1,16.8,317.4,1.8,0,0,0,0,0,44.4,FLOOR,CEILING,INJURY
Quinton Patton,WR,252,SF,0,0,0,44.7,503,2.6,0,0,0,0,0,65.6,FLOOR,CEILING,INJURY
Colts D/ST,D/ST,253,/S,0,0,0,0,0,0,0,0,0,0,0,92.8,FLOOR,CEILING,INJURY
Jaguars D/ST,D/ST,254,/S,0,0,0,0,0,0,0,0,0,0,0,92.5,FLOOR,CEILING,INJURY
Robbie Gould,K,255,Chi,0,0,0,0,0,0,0,0,0,0,0,128.5,FLOOR,CEILING,INJURY
Brandon McManus,K,256,Den,0,0,0,0,0,0,0,0,0,0,0,120.3,FLOOR,CEILING,INJURY
Kyle Rudolph,TE,257,Min,0,0,0,47.8,501.3,4.1,0,0,0,0,0,75.1,FLOOR,CEILING,INJURY
Will Tye,TE,258,NYG,0,0,0,35.7,364.2,3.7,0,0,0,0,0,57.8,FLOOR,CEILING,INJURY
Hunter Henry,TE,259,SD,0,0,0,24.6,265,2.2,0,0,0,0,0,39,FLOOR,CEILING,INJURY
Jay Cutler,QB,260,Chi,38.6,137.6,0.9,0,0,0,320,499.7,3804.4,23.2,14.1,228.4,FLOOR,CEILING,INJURY
Teddy Bridgewater,QB,261,Min,46.4,214.8,2.2,0,0,0,310,477,3444.6,19.2,10.6,221.7,FLOOR,CEILING,INJURY
Cole Beasley,WR,262,Dal,0,0,0,48.3,487.7,3,0,0,0,0,0,65.4,FLOOR,CEILING,INJURY
Pharoh Cooper,WR,263,LA,4.3,26.4,0.1,34,407.4,1.3,0,0,0,0,0,50.7,FLOOR,CEILING,INJURY
Maxx Williams,TE,264,Bal,0,0,0,34.4,318.9,2.6,0,0,0,0,0,46.7,FLOOR,CEILING,INJURY
Richard Rodgers,TE,265,GB,0,0,0,22.6,227.5,2.5,0,0,0,0,0,36.9,FLOOR,CEILING,INJURY
