Name,Position,Rank,Team,RUSH,RUSHYDS,RUSHTD,REC,RECYDS,RECTD,C,A,PASSYDS,PASSTD,INT,PTS,FLOOR,CEILING,INJURY
Charlie Whitehurst,QB,336,Ind,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Derek Hagan,WR,337,Ten,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Owen Daniels,TE,338,Den,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Jason Avant,WR,339,KC,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Bruce Gradkowski,QB,340,Pit,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Marques Colston,WR,341,NO,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Miles Austin,WR,342,Phi,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Fred Jackson,RB,343,Sea,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Daniel Fells,TE,344,NYG,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Calvin Johnson,WR,345,Det,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Marshawn Lynch,RB,346,Sea,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Dwayne Bowe,WR,347,Cle,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Drew Stanton,QB,348,Ari,0.9,3.6,0,0,0,0,9.2,16.3,107.3,0.8,0.5,6.5,FLOOR,CEILING,INJURY
Jacoby Jones,WR,349,Pit,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Matt Spaeth,TE,350,Pit,0,0,0,2,22,0.2,0,0,0,0,0,3.3,FLOOR,CEILING,INJURY
James Jones,WR,351,GB,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Scott Chandler,TE,352,NE,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Brent Celek,TE,353,Phi,0,0,0,22.7,283.8,1.8,0,0,0,0,0,38.6,FLOOR,CEILING,INJURY
Nick Folk,K,354,NYJ,0,0,0,0,0,0,0,0,0,0,0,114.3,FLOOR,CEILING,INJURY
Clark Harris,TE,355,Cin,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Ahmad Bradshaw,RB,356,Ind,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Pierre Thomas,RB,357,Wsh,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Eric Weems,WR,358,Atl,0,0,0,0,0,0,0,0,0,0,0,0.4,FLOOR,CEILING,INJURY
Matt Moore,QB,359,Mia,0.1,0.4,0,0,0,0,1.7,2.9,19,0.1,0.1,0.2,FLOOR,CEILING,INJURY
Jerome Simpson,WR,360,SF,0,0,0,14.7,200.7,0.9,0,0,0,0,0,25.2,FLOOR,CEILING,INJURY
Fred Davis,TE,361,Wsh,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Ray Rice,RB,362,FA,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Chad Henne,QB,363,Jax,0.1,0.4,0,0,0,0,1.7,2.9,18.6,0.2,0.1,0.4,FLOOR,CEILING,INJURY
Harry Douglas,WR,364,Ten,0,0,0,0,0,0,0,0,0,0,0,0.3,FLOOR,CEILING,INJURY
Craig Stevens,TE,365,Ten,0,0,0,6.2,70,0.5,0,0,0,0,0,9,FLOOR,CEILING,INJURY
Andre Jerome Caldwell,WR,366,Det,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Jerome Felton,RB,367,Buf,0,0,0,1.6,11.8,0.1,0,0,0,0,0,1.6,FLOOR,CEILING,INJURY
Matthew Slater,WR,368,NE,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Kellen Davis,TE,369,NYJ,0,0,0,3.6,38.9,0.3,0,0,0,0,0,5,FLOOR,CEILING,INJURY
Josh Johnson,QB,370,Bal,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Matt Flynn,QB,371,NO,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Garrett Hartley,K,372,Pit,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Mike Tolbert,RB,373,Car,57.2,209.6,3,15.4,125,0.9,0,0,0,0,0,54.2,FLOOR,CEILING,INJURY
Danny Amendola,WR,374,NE,2,12.4,0.1,10.4,133.7,1,0,0,0,0,0,21.5,FLOOR,CEILING,INJURY
Dan Carpenter,K,375,Buf,0,0,0,0,0,0,0,0,0,0,0,118.8,FLOOR,CEILING,INJURY
Matthew Mulligan,TE,376,Det,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Marcel Reece,RB,377,Oak,8.2,26.9,0.3,12,86.2,0.8,0,0,0,0,0,16.7,FLOOR,CEILING,INJURY
Connor Barth,K,378,NO,0,0,0,0,0,0,0,0,0,0,0,114.1,FLOOR,CEILING,INJURY
Chase Daniel,QB,379,Phi,3.5,14.2,0.1,0,0,0,22.7,37,247,1.5,0.8,15.1,FLOOR,CEILING,INJURY
Josh Freeman,QB,380,Ind,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Brian Hoyer,QB,381,Chi,0.6,2.5,0,0,0,0,22,38.3,284.9,1.6,1.2,14.7,FLOOR,CEILING,INJURY
Mark Sanchez,QB,382,Den,14.3,57.7,0.5,0,0,0,121.2,205.6,1408.3,7.4,8.1,75.3,FLOOR,CEILING,INJURY
