Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPprPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPprPtpg
133,Denard Robinson,JAX,WR,24,13,9.0,0.0,1.2,0.0,0.0,0.0,166.2,716.3,4.31,4.9,38.2,28.3,152.6,5.39,0.0,140.3,121.6,102.1,,55,,8.77
134,Larry Donnell,NYG,TE,26,16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,63.0,623.0,9.89,6.0,153.0,160.3,121.8,,12,77.0,9.56
135,Larry Fitzgerald,ARI,WR,31,14,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,117.7,72.0,896.0,12.44,2.3,174.9,155.4,119.9,,56,,10.93
136,Reggie Wayne,IND,WR,36,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,123.7,68.3,830.9,12.17,2.1,164.3,155.9,119.9,,57,,10.27
137,Mike Glennon,TAM,QB,25,6,5.0,312.0,541.3,3778.7,26.7,16.0,26.7,130.7,4.9,0.0,0.0,0.0,0.0,,0.0,240.0,98.6,95.6,,33,,15.0
138,Robert Griffin,WAS,QB,24,9,7.0,261.3,380.4,3011.6,7.1,10.7,67.6,312.9,4.63,1.8,0.0,0.0,0.0,,0.0,158.2,103.4,93.4,,34,,9.89
139,Shaun Hill,STL,QB,34,9,8.0,257.8,407.1,2945.8,14.2,12.4,17.8,17.8,1.0,1.8,1.8,1.8,0.0,0.0,0.0,160.0,101.3,96.8,,35,,10.0
140,Dwayne Allen,IND,TE,24,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.5,35.7,486.2,13.62,9.8,144.0,119.5,102.0,,13,,9.0
141,LeGarrette Blount,2TM,RB,28,16,1.0,0.0,0.0,0.0,0.0,0.0,125.0,547.0,4.38,5.0,12.0,10.0,54.0,5.4,0.0,98.0,102.1,93.1,,36,,6.12
142,Kirk Cousins,WAS,QB,26,6,5.0,336.0,544.0,4560.0,26.7,24.0,18.7,53.3,2.86,0.0,0.0,0.0,0.0,,0.0,234.7,102.4,97.4,,36,,14.67
143,Charlie Whitehurst,TEN,QB,32,7,5.0,240.0,422.9,3030.9,16.0,4.6,45.7,205.7,4.5,0.0,0.0,0.0,22.9,,0.0,198.9,92.0,89.0,,37,,12.43
144,Brandin Cooks,NOR,WR,21,10,7.0,0.0,0.0,0.0,0.0,0.0,11.2,116.8,10.43,1.6,110.4,84.8,880.0,10.38,4.8,222.4,142.3,112.8,,58,,13.9
145,Zach Ertz,PHI,WR,24,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.0,58.0,702.0,12.1,3.0,144.0,148.2,115.2,,59,,9.0
146,Roy Helu,WAS,WR,26,14,0.0,0.0,0.0,0.0,0.0,0.0,45.7,246.9,5.4,1.1,53.7,48.0,545.1,11.36,2.3,145.1,134.3,106.3,,60,,9.07
147,Darren McFadden,OAK,RB,27,16,12.0,0.0,1.0,0.0,0.0,0.0,155.0,534.0,3.45,2.0,56.0,36.0,212.0,5.89,0.0,121.0,127.6,102.6,,37,,7.56
148,Alfred Blue,HOU,RB,23,16,3.0,0.0,0.0,0.0,0.0,0.0,169.0,528.0,3.12,2.0,18.0,15.0,113.0,7.53,1.0,97.0,103.1,89.6,,38,,6.06
149,Jared Cook,STL,TE,27,16,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,52.0,634.0,12.19,3.0,133.0,136.4,107.4,,14,,8.31
150,Ronnie Hillman,DEN,RB,23,8,4.0,0.0,0.0,0.0,0.0,0.0,212.0,868.0,4.09,6.0,68.0,42.0,278.0,6.62,2.0,204.0,108.3,91.8,,39,,12.75
151,Benny Cunningham,STL,RB,24,16,2.0,0.0,0.0,0.0,0.0,0.0,66.0,246.0,3.73,3.0,52.0,45.0,352.0,7.82,1.0,125.0,132.8,102.3,,40,,7.81
152,Charles Clay,MIA,TE,25,14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,96.0,66.3,691.4,10.43,3.4,156.6,139.5,107.5,,15,,9.79
153,Percy Harvin,2TM,WR,26,13,12.0,0.0,0.0,0.0,0.0,0.0,40.6,248.6,6.12,1.2,96.0,62.8,594.5,9.47,1.2,160.0,136.5,104.0,,61,,10.0
154,Bishop Sankey,TEN,RB,22,16,9.0,0.0,0.0,0.0,0.0,0.0,152.0,569.0,3.74,2.0,23.0,18.0,133.0,7.39,0.0,96.0,104.2,87.2,,41,,6.0
155,Bobby Rainey,TAM,RB,27,15,5.0,0.0,1.1,0.0,0.0,0.0,100.3,433.1,4.32,1.1,48.0,35.2,336.0,9.55,1.1,118.4,120.1,94.6,,42,,7.4
156,Pierre Thomas,NOR,RB,30,11,3.0,0.0,0.0,0.0,0.0,0.0,65.5,322.9,4.93,2.9,80.0,65.5,549.8,8.4,1.5,178.9,129.0,100.5,,43,,11.18
157,Markus Wheaton,PIT,WR,23,16,11.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,4.75,0.0,86.0,53.0,644.0,12.15,2.0,131.0,134.3,104.8,,62,,8.19
158,Jarius Wright,MIN,WR,25,16,7.0,0.0,0.0,0.0,0.0,0.0,5.0,71.0,14.2,0.0,62.0,42.0,588.0,14.0,2.0,120.0,122.9,98.9,,63,,7.5
159,Owen Daniels,BAL,TE,32,15,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,84.3,51.2,562.1,10.98,4.3,133.3,127.7,100.7,,16,,8.33
160,Dwayne Bowe,KAN,WR,30,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,101.3,64.0,804.3,12.57,0.0,146.1,138.4,105.4,,64,,9.13
161,Nate Washington,TEN,WR,31,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,72.0,40.0,647.0,16.18,2.0,117.0,119.7,96.7,,65,,7.31
162,Jermaine Gresham,CIN,TE,26,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,84.3,66.1,490.7,7.42,5.3,147.2,141.0,107.0,,17,,9.2
163,Mychal Rivera,OAK,TE,24,16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,99.0,58.0,534.0,9.21,4.0,133.0,137.4,104.4,,18,,8.31
164,Riley Cooper,PHI,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,95.0,55.0,577.0,10.49,3.0,129.0,132.7,101.2,,66,,8.06
165,Jonas Gray,NWE,RB,24,8,3.0,0.0,0.0,0.0,0.0,0.0,178.0,824.0,4.63,10.0,6.0,2.0,14.0,7.0,0.0,146.0,75.9,72.4,,44,,9.12
166,Zach Mettenberger,TEN,QB,23,7,6.0,244.6,409.1,3227.4,18.3,16.0,11.4,9.1,0.8,0.0,0.0,0.0,0.0,,0.0,162.3,82.9,77.9,,38,,10.14
167,Ben Tate,3TM,RB,26,11,7.0,0.0,0.0,0.0,0.0,0.0,180.4,567.3,3.15,5.8,17.5,16.0,100.4,6.27,0.0,117.8,83.9,75.4,,45,,7.36
168,Devin Hester,ATL,WR,32,16,1.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,6.0,1.0,59.0,38.0,504.0,13.26,2.0,108.0,118.0,95.0,,67,,6.75
169,Harry Douglas,ATL,WR,30,12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,98.7,68.0,741.3,10.9,2.7,161.3,123.6,95.1,,68,,10.08
170,Latavius Murray,OAK,RB,24,15,3.0,0.0,0.0,0.0,0.0,0.0,87.5,452.3,5.17,2.1,24.5,18.1,152.5,8.41,0.0,91.7,91.7,77.2,,46,,5.73
171,Taylor Gabriel,CLE,WR,23,16,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.5,0.0,72.0,36.0,621.0,17.25,1.0,105.0,108.1,87.1,,69,,6.56
172,Miles Austin,CLE,WR,30,12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.3,62.7,757.3,12.09,2.7,154.7,118.8,92.3,,70,,9.67
173,Allen Robinson,JAX,WR,21,10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,129.6,76.8,876.8,11.42,3.2,187.2,119.8,92.8,,71,,11.7
174,Scott Chandler,BUF,TE,29,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,70.0,47.0,497.0,10.57,3.0,115.0,117.7,91.2,,19,,7.19
175,Doug Martin,TAM,RB,25,11,11.0,0.0,0.0,0.0,0.0,0.0,194.9,718.5,3.69,2.9,29.1,18.9,93.1,4.92,0.0,117.8,83.8,74.3,,47,,7.36
176,Justin Hunter,TEN,WR,23,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.3,37.3,664.0,17.79,4.0,128.0,98.8,81.8,,72,,8.0
177,Jerick McKinnon,MIN,RB,22,11,6.0,0.0,0.0,0.0,0.0,0.0,164.4,782.5,4.76,0.0,59.6,39.3,196.4,5.0,0.0,136.7,100.3,80.8,,48,,8.55
178,Reggie Bush,DET,RB,29,11,9.0,0.0,0.0,0.0,0.0,0.0,110.5,432.0,3.91,2.9,81.5,58.2,368.0,6.33,0.0,155.6,113.0,87.0,,49,,9.73
179,Cecil Shorts,JAX,WR,27,13,12.0,2.5,2.5,39.4,1.2,0.0,0.0,0.0,,0.0,135.4,65.2,685.5,10.51,1.2,147.7,122.0,91.5,,73,,9.23
180,Jerricho Cotchery,CAR,WR,32,15,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,83.2,51.2,618.7,12.08,1.1,121.6,117.0,90.0,,74,,7.6
181,Antone Smith,ATL,RB,29,10,0.0,0.0,0.0,0.0,0.0,0.0,36.8,230.4,6.26,3.2,24.0,20.8,355.2,17.08,4.8,124.8,84.6,71.1,,50,,7.8
182,Lorenzo Taliaferro,BAL,RB,23,13,0.0,0.0,0.0,0.0,0.0,0.0,83.7,359.4,4.29,4.9,12.3,9.8,140.3,14.25,0.0,89.8,77.6,66.6,,51,,5.62
183,Hakeem Nicks,IND,WR,26,16,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,68.0,38.0,405.0,10.66,4.0,103.0,105.5,83.5,,75,,6.44
184,Donte Moncrief,IND,WR,21,16,2.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.25,0.0,49.0,32.0,444.0,13.88,3.0,96.0,99.1,80.1,,76,,6.0
185,Jermaine Kearse,SEA,WR,24,15,14.0,1.1,1.1,18.1,0.0,0.0,2.1,16.0,7.5,0.0,73.6,40.5,572.8,14.13,1.1,108.8,102.9,80.9,,77,,6.8
186,Jake Locker,TEN,QB,26,7,5.0,196.6,333.7,2269.7,11.4,16.0,50.3,324.6,6.45,2.3,0.0,0.0,0.0,,0.0,146.3,77.9,70.9,,39,,9.14
187,Davante Adams,GNB,WR,22,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,66.0,38.0,446.0,11.74,3.0,101.0,103.6,81.6,,78,,6.31
188,Chris Hogan,BUF,WR,26,16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.0,41.0,426.0,10.39,4.0,104.0,108.6,83.1,,79,,6.5
189,Colt McCoy,WAS,QB,28,5,4.0,291.2,409.6,3382.4,12.8,9.6,51.2,211.2,4.13,3.2,0.0,0.0,0.0,,0.0,201.6,69.9,65.9,,40,,12.6
190,Carlos Hyde,SFO,RB,23,14,0.0,0.0,0.0,0.0,0.0,0.0,94.9,380.6,4.01,4.6,18.3,13.7,77.7,5.67,0.0,84.6,78.1,68.1,,52,,5.29
191,Cole Beasley,DAL,WR,25,16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,49.0,37.0,420.0,11.35,4.0,99.0,104.0,80.5,,80,,6.19
192,Tim Wright,NWE,WR,24,16,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,33.0,26.0,259.0,9.96,6.0,88.0,90.7,74.7,,81,,5.5
193,Steve Johnson,SFO,WR,28,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.5,43.1,535.4,12.43,3.7,119.4,99.5,79.0,,82,,7.46
194,Toby Gerhart,JAX,RB,27,14,7.0,0.0,0.0,0.0,0.0,0.0,115.4,372.6,3.23,2.3,27.4,22.9,212.6,9.3,0.0,92.6,88.2,71.2,,53,,5.79
195,Theo Riddick,DET,RB,23,14,2.0,0.0,0.0,0.0,0.0,0.0,22.9,58.3,2.55,0.0,57.1,38.9,361.1,9.29,4.6,108.6,97.7,77.7,,54,,6.79
196,Anthony Dixon,BUF,RB,27,16,0.0,0.0,0.0,0.0,0.0,0.0,105.0,432.0,4.11,2.0,9.0,8.0,49.0,6.13,0.0,68.0,71.1,64.1,,55,,4.25
197,Charles Johnson,MIN,WR,25,12,6.0,0.0,0.0,0.0,0.0,0.0,1.3,-14.7,-11.0,0.0,78.7,41.3,633.3,15.32,2.7,121.3,94.4,75.9,,83,,7.58
198,Robert Turbin,SEA,RB,25,16,3.0,0.0,0.0,0.0,0.0,0.0,74.0,310.0,4.19,0.0,20.0,16.0,186.0,11.63,2.0,76.0,82.6,67.6,,56,,4.75
199,Cordarrelle Patterson,MIN,WR,23,16,7.0,0.0,0.0,0.0,0.0,0.0,10.0,117.0,11.7,1.0,67.0,33.0,384.0,11.64,1.0,93.0,100.1,76.6,,84,,5.81
200,Jeremy Kerley,NYJ,WR,26,16,7.0,0.0,1.0,0.0,0.0,0.0,4.0,86.0,21.5,0.0,75.0,38.0,409.0,10.76,1.0,98.0,96.5,74.5,,85,,6.12
201,James Starks,GNB,RB,28,16,0.0,0.0,0.0,0.0,0.0,0.0,85.0,333.0,3.92,2.0,29.0,18.0,140.0,7.78,0.0,77.0,83.3,68.3,,57,,4.81
202,Brian Hartline,MIA,WR,28,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,63.0,39.0,474.0,12.15,2.0,98.0,101.4,78.9,,86,,6.12
203,Tavon Austin,STL,WR,23,15,8.0,0.0,0.0,0.0,0.0,0.0,38.4,238.9,6.22,2.1,46.9,33.1,258.1,7.81,0.0,96.0,101.6,80.1,,87,,6.0
204,EJ Manuel,BUF,QB,24,5,4.0,243.2,419.2,2681.6,16.0,9.6,51.2,166.4,3.25,3.2,0.0,0.0,0.0,,0.0,188.8,64.7,61.7,,41,,11.8
205,Ryan Mathews,SDG,RB,27,6,6.0,0.0,0.0,0.0,0.0,0.0,197.3,880.0,4.46,8.0,26.7,24.0,184.0,7.67,0.0,178.7,69.9,62.4,,58,,11.17
206,Wes Welker,DEN,WR,33,14,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,73.1,56.0,530.3,9.47,2.3,122.3,110.4,82.9,,88,,7.64
207,Devonta Freeman,ATL,RB,22,16,0.0,0.0,0.0,0.0,0.0,0.0,65.0,248.0,3.82,1.0,37.0,30.0,225.0,7.5,1.0,87.0,94.3,72.3,,59,,5.44
208,Khiry Robinson,NOR,RB,25,10,3.0,0.0,0.0,0.0,0.0,0.0,121.6,579.2,4.76,4.8,17.6,12.8,100.8,7.88,0.0,104.0,69.5,60.5,,60,,6.5
209,Luke Willson,SEA,TE,24,15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,42.7,23.5,386.1,16.45,3.2,83.2,79.2,65.2,,20,,5.2
210,Lance Kendricks,STL,WR,26,16,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38.0,27.0,259.0,9.59,5.0,83.0,85.9,69.4,,89,,5.19
211,Brian Quick,STL,WR,25,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.1,57.1,857.1,15.0,6.9,185.1,83.5,68.0,,90,,11.57
212,Andre Roberts,WAS,WR,26,16,4.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,0.0,73.0,36.0,453.0,12.58,2.0,91.0,96.4,73.4,,91,,5.69
213,Stepfan Taylor,ARI,RB,23,14,4.0,0.0,0.0,0.0,0.0,0.0,72.0,237.7,3.3,1.1,17.1,12.6,90.3,7.18,3.4,75.4,68.7,60.2,,61,,4.71
214,Niles Paul,WAS,WR,25,16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,52.0,39.0,507.0,13.0,1.0,94.0,97.7,74.2,,92,,5.88
215,Jordan Cameron,CLE,TE,26,10,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76.8,38.4,678.4,17.67,3.2,124.8,81.4,66.4,,21,,7.8
216,Andrew Quarless,GNB,TE,26,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,46.0,29.0,323.0,11.14,3.0,83.0,82.3,64.8,,22,,5.19
217,Dan Herron,IND,RB,25,16,3.0,0.0,0.0,0.0,0.0,0.0,78.0,351.0,4.5,1.0,26.0,21.0,173.0,8.24,0.0,75.0,83.4,64.9,,62,,4.69
218,Jacquizz Rodgers,ATL,RB,24,16,1.0,0.0,0.0,0.0,0.0,0.0,58.0,217.0,3.74,1.0,40.0,29.0,173.0,5.97,1.0,82.0,86.0,65.5,,63,,5.12
219,Preston Parker,NYG,WR,27,16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,56.0,36.0,418.0,11.61,2.0,88.0,91.8,69.8,,93,,5.5
220,Derek Anderson,CAR,QB,31,6,2.0,173.3,258.7,1869.3,13.3,0.0,21.3,64.0,3.0,0.0,0.0,0.0,0.0,,0.0,138.7,53.4,50.4,,42,,8.67
221,Joseph Randle,DAL,RB,23,16,0.0,0.0,0.0,0.0,0.0,0.0,51.0,343.0,6.73,3.0,5.0,4.0,23.0,5.75,0.0,55.0,59.6,52.6,,64,,3.44
222,Shonn Greene,TEN,RB,29,13,5.0,0.0,0.0,0.0,0.0,0.0,115.7,482.5,4.17,2.5,3.7,1.2,16.0,13.0,0.0,64.0,55.5,51.0,,65,,4.0
223,Stedman Bailey,STL,WR,24,14,3.0,0.0,0.0,0.0,0.0,0.0,1.1,14.9,13.0,0.0,52.6,34.3,497.1,14.5,1.1,92.6,89.8,71.8,,94,,5.79
224,Travis Benjamin,CLE,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,3.67,0.0,46.0,18.0,314.0,17.44,3.0,69.0,71.5,59.5,,95,,4.31
225,Jordan Todman,JAX,RB,24,16,1.0,0.0,0.0,0.0,0.0,0.0,32.0,186.0,5.81,1.0,37.0,25.0,198.0,7.92,1.0,75.0,81.4,62.9,,66,,4.69
226,Louis Murphy,TAM,WR,27,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,81.5,45.1,552.7,12.26,2.9,117.8,84.0,65.5,,96,,7.36
227,Anthony Fasano,KAN,TE,30,15,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38.4,26.7,241.1,9.04,4.3,78.9,74.6,59.1,,23,,4.93
228,Marqise Lee,JAX,WR,23,13,8.0,0.0,0.0,0.0,0.0,0.0,3.7,11.1,3.0,0.0,84.9,45.5,519.4,11.41,1.2,105.8,89.1,67.6,,97,,6.62
229,Corey Brown,CAR,WR,23,13,3.0,0.0,0.0,0.0,0.0,0.0,9.8,116.9,11.88,0.0,44.3,25.8,364.3,14.1,2.5,86.2,80.1,65.6,,98,,5.38
230,Jace Amaro,NYJ,WR,22,14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.6,43.4,394.3,9.08,2.3,99.4,87.5,65.5,,99,,6.21
231,Josh Hill,NOR,TE,24,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,14.0,176.0,12.57,5.0,62.0,64.6,54.6,,24,,3.88
232,Stevan Ridley,NWE,RB,25,6,5.0,0.0,0.0,0.0,0.0,0.0,250.7,906.7,3.62,5.3,13.3,10.7,53.3,5.0,0.0,138.7,55.0,50.0,,67,,8.67
233,Bernard Pierce,BAL,RB,23,13,2.0,0.0,0.0,0.0,0.0,0.0,114.5,450.5,3.94,2.5,7.4,2.5,16.0,6.5,0.0,61.5,53.9,48.9,,68,,3.85
234,Juwan Thompson,DEN,RB,22,15,0.0,0.0,0.0,0.0,0.0,0.0,57.6,290.1,5.04,3.2,7.5,4.3,26.7,6.25,0.0,55.5,54.7,49.7,,69,,3.47
235,Zac Stacy,STL,RB,23,13,5.0,0.0,0.0,0.0,0.0,0.0,93.5,360.6,3.86,1.2,28.3,22.2,187.1,8.44,0.0,80.0,72.5,55.5,,70,,5.0
236,C.J. Spiller,BUF,RB,27,9,5.0,0.0,0.0,0.0,0.0,0.0,138.7,533.3,3.85,0.0,39.1,33.8,222.2,6.58,1.8,117.3,78.5,62.0,,71,,7.33
237,Jordan Reed,WAS,TE,24,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,94.5,72.7,676.4,9.3,0.0,138.2,98.5,69.5,,25,,8.64
238,Kamar Aiken,BAL,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,24.0,267.0,11.13,3.0,69.0,71.7,56.7,,100,,4.31
239,Michael Vick,NYJ,QB,34,10,3.0,102.4,193.6,966.4,4.8,3.2,41.6,244.8,5.88,0.0,0.0,0.0,0.0,,0.0,72.0,53.5,45.5,,43,,4.5
240,John Carlson,ARI,TE,30,16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,55.0,33.0,350.0,10.61,1.0,76.0,79.0,59.5,,26,,4.75
241,Jeff Cumberland,NYJ,TE,27,16,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,23.0,247.0,10.74,3.0,66.0,68.7,54.2,,27,,4.12
242,Donald Brown,SDG,RB,27,13,3.0,0.0,0.0,0.0,0.0,0.0,104.6,274.5,2.62,0.0,50.5,35.7,259.7,7.28,0.0,88.6,78.4,57.9,,72,,5.54
243,Chris Polk,PHI,RB,25,14,0.0,0.0,0.0,0.0,0.0,0.0,52.6,196.6,3.74,4.6,3.4,2.3,18.3,8.0,0.0,51.4,53.8,49.8,,73,,3.21
244,Charles Sims,TAM,RB,24,8,0.0,0.0,0.0,0.0,0.0,0.0,132.0,370.0,2.8,2.0,54.0,38.0,380.0,10.0,0.0,122.0,67.5,51.0,,74,,7.62
245,Daniel Fells,NYG,TE,31,16,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,16.0,188.0,11.75,4.0,57.0,60.8,48.8,,28,,3.56
246,Daniel Thomas,MIA,RB,27,12,0.0,0.0,0.0,0.0,0.0,0.0,58.7,224.0,3.82,2.7,25.3,17.3,161.3,9.31,0.0,72.0,60.9,47.4,,75,,4.5
247,Jason Avant,2TM,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,62.0,34.0,353.0,10.38,1.0,75.0,78.4,58.4,,101,,4.69
248,Damaris Johnson,HOU,WR,25,16,8.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,3.8,0.0,49.0,31.0,331.0,10.68,1.0,72.0,75.0,56.5,,102,,4.5
249,Darrel Young,WAS,RB,27,16,10.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,2.44,3.0,14.0,11.0,81.0,7.36,2.0,51.0,51.3,45.8,,76,,3.19
250,Dion Sims,MIA,WR,23,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,41.1,27.4,324.6,11.83,2.3,73.1,67.4,52.4,,103,,4.57
251,Brice Butler,OAK,WR,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.3,22.4,298.7,13.33,2.1,65.1,64.0,50.5,,104,,4.07
252,Victor Cruz,NYG,WR,28,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,109.3,61.3,898.7,14.65,2.7,168.0,65.7,51.2,,105,,10.5
253,Marcel Reece,OAK,RB,29,15,15.0,0.0,0.0,0.0,0.0,0.0,22.4,90.7,4.05,0.0,62.9,39.5,282.7,7.16,1.1,81.1,80.0,57.5,,77,,5.07
254,Brent Celek,PHI,TE,29,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,51.0,32.0,340.0,10.63,1.0,70.0,74.0,54.0,,29,,4.38
255,Clay Harbor,JAX,TE,27,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.1,32.0,355.7,11.12,1.2,77.5,63.9,47.9,,31,,4.85
256,Vernon Davis,SFO,TE,30,14,14.0,0.0,0.0,0.0,0.0,0.0,1.1,4.6,4.0,0.0,57.1,29.7,280.0,9.42,2.3,72.0,65.9,49.9,,30,,4.5
257,Damien Williams,MIA,RB,22,16,0.0,0.0,0.0,0.0,0.0,0.0,36.0,122.0,3.39,0.0,27.0,21.0,187.0,8.9,1.0,58.0,63.9,47.4,,78,,3.62
258,Dexter McCluster,TEN,RB,26,14,2.0,0.0,0.0,0.0,0.0,0.0,45.7,149.7,3.28,0.0,41.1,29.7,225.1,7.58,1.1,72.0,69.8,49.8,,79,,4.5
259,Brandon Gibson,MIA,WR,27,14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.3,33.1,337.1,10.17,1.1,74.3,67.5,50.0,,106,,4.64
260,Kyle Rudolph,MIN,TE,25,9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.4,42.7,410.7,9.63,3.6,104.9,62.1,47.1,,32,,6.56
261,Marcedes Lewis,JAX,TE,30,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,36.0,412.0,11.44,4.0,106.0,53.6,41.6,,33,,6.62
262,Richard Rodgers,GNB,TE,22,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,20.0,225.0,11.25,2.0,55.0,57.5,44.5,,34,,3.44
263,Gavin Escobar,DAL,TE,23,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,9.0,105.0,11.67,4.0,44.0,46.5,39.0,,35,,2.75
264,Brandon Lloyd,SFO,WR,33,14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,16.0,336.0,21.0,1.1,56.0,52.4,42.4,,107,,3.5
265,Travaris Cadet,NOR,RB,25,15,1.0,0.0,0.0,0.0,0.0,0.0,10.7,34.1,3.2,0.0,54.4,40.5,315.7,7.79,1.1,77.9,77.8,53.8,,80,,4.87
266,Jaron Brown,ARI,WR,24,16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,22.0,229.0,10.41,2.0,57.0,59.9,45.9,,108,,3.56
267,Levine Toilolo,ATL,TE,23,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,54.0,31.0,238.0,7.68,2.0,65.0,68.8,49.3,,36,,4.06
268,Leon Washington,TEN,RB,32,16,0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,4.38,0.0,31.0,22.0,159.0,7.23,2.0,56.0,57.6,42.6,,81,,3.5
269,Lance Moore,PIT,WR,31,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.7,16.0,226.3,14.14,2.3,54.9,50.8,40.8,,109,,3.43
270,Jeremy Ross,DET,WR,26,16,13.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-0.5,0.0,35.0,24.0,314.0,13.08,1.0,57.0,62.3,45.3,,110,,3.56
