,Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
99,100,Kyle,BAL,24.0,FB,16,11,56,41,73.2%,321,7.8,4,39,2.6,20.1,0
100,101,Latavi,OAK,25.0,RB,16,16,53,41,77.4%,232,5.7,0,23,2.6,14.5,4
101,102,Darren,DAL,28.0,RB,16,10,53,40,75.5%,328,8.2,0,21,2.5,20.5,3
102,103,Ja,NWE,23.0,rb,14,1,54,40,74.1%,410,10.3,4,68,2.9,29.3,0
103,104,DeAngelo,PIT,32.0,RB,16,10,47,40,85.1%,367,9.2,0,34,2.5,22.9,4
104,105,J,STL,28.0,TE,16,12,75,39,52.0%,481,12.3,0,49,2.4,30.1,2
105,106,Jerricho,CAR,33.0,wr,14,3,54,39,72.2%,485,12.4,3,59,2.8,34.6,0
106,107,Mik,MIN,29.0,WR,16,12,72,39,54.2%,473,12.1,2,34,2.4,29.6,0
107,108,Ver,2TM,31.0,,15,9,58,38,65.5%,395,10.4,0,43,2.5,26.3,0
108,109,Ladar,SDG,25.0,TE,13,11,63,37,58.7%,429,11.6,4,31,2.8,33.0,0
109,110,Brand,NWE,29.0,wr,11,7,74,37,50.0%,515,13.9,0,54,3.4,46.8,0
110,111,Ed,CHI,29.0,WR,9,9,50,37,74.0%,238,6.4,1,30,4.1,26.4,0
111,112,Ke,STL,27.0,WR,16,13,72,36,50.0%,681,18.9,3,60,2.3,42.6,0
112,113,Harr,TEN,31.0,WR,14,12,72,36,50.0%,411,11.4,2,51,2.6,29.4,2
113,114,Dway,NYG,28.0,fb/wr,15,6,57,36,63.2%,396,11.0,4,38,2.4,26.4,3
114,115,Ch,BUF,27.0,wr,16,4,59,36,61.0%,450,12.5,2,46,2.3,28.1,0
115,116,Davi,ARI,24.0,rb,16,5,57,36,63.2%,457,12.7,4,55,2.3,28.6,4
116,117,D,NWE,25.0,rb,7,6,50,36,72.0%,388,10.8,2,40,5.1,55.4,2
117,118,Kenda,TEN,26.0,WR,10,9,60,36,60.0%,408,11.3,3,52,3.6,40.8,0
118,119,T.,JAX,22.0,RB,12,12,46,36,78.3%,279,7.8,1,67,3.0,23.3,0
119,120,Jorda,MIA,27.0,TE,16,16,70,35,50.0%,386,11.0,3,29,2.2,24.1,1
120,121,Dontre,SDG,26.0,wr,14,7,63,35,55.6%,486,13.9,3,68,2.5,34.7,2
121,122,Chris,WAS,25.0,,13,0,48,35,72.9%,240,6.9,2,23,2.7,18.5,2
122,123,Albe,KAN,23.0,WR,14,12,57,35,61.4%,451,12.9,2,44,2.5,32.2,0
123,124,F,IND,32.0,RB,16,16,58,34,58.6%,267,7.9,1,34,2.1,16.7,4
124,125,Za,CHI,31.0,fb/TE,15,14,46,34,73.9%,439,12.9,5,87,2.3,29.3,0
125,126,C.J,NOR,28.0,rb,13,2,44,34,77.3%,239,7.0,2,80,2.6,18.4,1
126,127,Jari,MIN,26.0,wr,16,3,50,34,68.0%,442,13.0,0,52,2.1,27.6,1
127,128,Crockett,BAL,24.0,TE,10,10,47,33,70.2%,412,12.5,4,46,3.3,41.2,0
128,129,Melv,SDG,22.0,RB,14,13,37,33,89.2%,192,5.8,0,18,2.4,13.7,6
129,130,Vincen,TAM,32.0,WR,10,9,62,33,53.2%,543,16.5,3,36,3.3,54.3,0
130,131,Dou,TAM,26.0,RB,16,16,44,33,75.0%,271,8.2,1,25,2.1,16.9,5
131,132,Moh,CIN,26.0,wr,16,4,49,33,67.3%,394,11.9,0,52,2.1,24.6,2
132,133,Tor,SFO,26.0,te/WR,16,12,62,33,53.2%,663,20.1,4,76,2.1,41.4,0
133,134,Dorial Gree,TEN,22.0,wr,16,5,67,32,47.8%,549,17.2,4,47,2.0,34.3,0
134,135,Fre,SEA,34.0,,16,0,41,32,78.0%,257,8.0,2,26,2.0,16.1,1
135,136,LeS,BUF,27.0,RB,12,12,50,32,64.0%,292,9.1,2,22,2.7,24.3,2
136,137,Mych,OAK,25.0,,16,0,46,32,69.6%,280,8.8,1,29,2.0,17.5,2
137,138,Set,OAK,24.0,fb/wr,16,5,55,32,58.2%,480,15.0,5,43,2.0,30.0,0
138,139,Brya,JAX,28.0,wr,11,1,45,32,71.1%,368,11.5,1,31,2.9,33.5,0
139,140,Maxx,BAL,21.0,te,14,7,48,32,66.7%,268,8.4,1,28,2.3,19.1,1
140,141,Co,CAR,24.0,WR,14,11,54,31,57.4%,447,14.4,4,39,2.2,31.9,0
141,142,D,DAL,27.0,WR,9,9,72,31,43.1%,401,12.9,3,51,3.4,44.6,0
142,143,Jere,BAL,24.0,,8,0,44,31,70.5%,363,11.7,0,41,3.9,45.4,1
143,144,Justi,BAL,30.0,RB,10,10,41,31,75.6%,153,4.9,0,32,3.1,15.3,0
144,145,Devin,CAR,21.0,wr,16,5,63,31,49.2%,473,15.3,5,52,1.9,29.6,1
145,146,Dexter ,TEN,27.0,rb,11,2,41,31,75.6%,260,8.4,1,35,2.8,23.6,2
146,147,Brando,NOR,23.0,wr,16,3,49,30,61.2%,454,15.1,2,31,1.9,28.4,0
147,148,Mal,SDG,34.0,WR,15,13,68,30,44.1%,561,18.7,3,70,2.0,37.4,1
148,149,Ch,NYJ,27.0,RB,15,14,37,30,81.1%,217,7.2,1,36,2.0,14.5,4
149,150,DeSea,WAS,29.0,WR,10,9,49,30,61.2%,528,17.6,4,77,3.0,52.8,1
150,151,Vance,SFO,25.0,TE/wr,14,11,46,30,65.2%,326,10.9,3,36,2.1,23.3,2
151,152,Quint,SFO,25.0,wr,16,4,57,30,52.6%,394,13.1,1,41,1.9,24.6,0
152,153,Adrian ,MIN,30.0,RB,16,16,36,30,83.3%,222,7.4,0,49,1.9,13.9,7
153,154,Mar,OAK,30.0,fb/te,15,7,37,30,81.1%,269,9.0,3,55,2.0,17.9,0
154,155,Larr,NYG,27.0,TE,8,8,41,29,70.7%,223,7.7,2,22,3.6,27.9,0
155,156,Rashad,NYG,30.0,RB,16,16,40,29,72.5%,296,10.2,1,51,1.8,18.5,2
156,157,La,DET,32.0,WR,14,8,43,29,67.4%,337,11.6,4,42,2.1,24.1,1
157,158,Taylo,CLE,24.0,wr,13,4,48,28,58.3%,241,8.6,0,56,2.2,18.5,1
158,159,Cliv,OAK,24.0,te,16,2,50,28,56.0%,329,11.8,3,33,1.8,20.6,0
159,160,Marque,CHI,23.0,wr,11,6,51,28,54.9%,464,16.6,1,50,2.5,42.2,0
160,161,Br,PHI,30.0,TE,16,13,35,27,77.1%,398,14.7,3,60,1.7,24.9,1
161,162,Shau,2TM,28.0,,11,6,35,27,77.1%,176,6.5,0,26,2.5,16.0,1
162,163,Andre,CLE,29.0,WR,8,8,43,27,62.8%,276,10.2,0,25,3.4,34.5,1
163,164,,PHI,24.0,wr,15,4,42,27,64.3%,312,11.6,3,41,1.8,20.8,0
164,165,Adam ,TAM,22.0,,13,0,40,27,67.5%,260,9.6,1,27,2.1,20.0,0
165,166,Ken,MIA,23.0,WR,16,8,63,27,42.9%,440,16.3,3,47,1.7,27.5,0
166,167,Benny C,STL,25.0,rb,16,1,36,26,72.2%,250,9.6,0,42,1.6,15.6,1
167,168,Antho,TEN,31.0,TE,16,11,42,26,61.9%,289,11.1,2,33,1.6,18.1,0
168,169,Jonath,HOU,26.0,,14,0,31,26,83.9%,173,6.7,1,19,1.9,12.4,0
169,170,Leonard ,3TM,26.0,,10,0,46,26,56.5%,327,12.6,3,55,2.6,32.7,0
170,171,DeVan,MIA,22.0,wr,15,4,50,26,52.0%,494,19.0,3,49,1.7,32.9,0
171,172,Ameer,DET,22.0,RB,16,9,38,25,65.8%,183,7.3,1,36,1.6,11.4,5
172,173,C.J.,DEN,24.0,rb,15,5,36,25,69.4%,183,7.3,0,27,1.7,12.2,2
173,174,Lance ,STL,27.0,TE/wr,15,12,36,25,69.4%,245,9.8,2,37,1.7,16.3,0
174,175,Le',PIT,23.0,rb,6,6,26,24,92.3%,136,5.7,0,20,4.0,22.7,0
175,176,Javonte,SDG,24.0,wr,8,2,33,24,72.7%,195,8.1,0,21,3.0,24.4,2
176,177,Ronni,DEN,24.0,RB,16,11,35,24,68.6%,111,4.6,0,14,1.5,6.9,3
177,178,Kesha,NWE,25.0,WR,9,8,37,24,64.9%,269,11.2,2,39,2.7,29.9,1
178,179,Nelso,PHI,22.0,WR,13,12,44,23,52.3%,283,12.3,1,53,1.8,21.8,1
179,180,Came,TAM,24.0,te,14,4,30,23,76.7%,288,12.5,3,46,1.6,20.6,0
180,181,Scott,NWE,30.0,te,15,4,42,23,54.8%,259,11.3,4,30,1.5,17.3,0
181,182,R,WAS,25.0,wr,16,5,42,23,54.8%,268,11.7,2,35,1.4,16.8,0
182,183,Jo,DET,29.0,rb,13,5,27,22,81.5%,286,13.0,0,39,1.7,22.0,1
183,184,Quin,NYJ,23.0,wr,12,6,46,22,47.8%,315,14.3,0,48,1.8,26.3,0
184,185,Ari,HOU,29.0,rb,4,4,28,22,78.6%,227,10.3,2,32,5.5,56.8,2
185,186,Just,TEN,24.0,wr,9,5,31,22,71.0%,264,12.0,1,29,2.4,29.3,0
186,187,Jeremy,CHI,24.0,rb,16,2,42,22,52.4%,279,12.7,1,83,1.4,17.4,0
187,188,Mar,CHI,28.0,wr,16,5,33,22,66.7%,300,13.6,0,26,1.4,18.8,3
188,189,Jorda,DEN,29.0,wr,11,5,32,22,68.8%,207,9.4,0,34,2.0,18.8,1
189,190,Antoni,TEN,24.0,RB,14,10,29,21,72.4%,174,8.3,0,23,1.5,12.4,1
190,191,Jamaa,KAN,29.0,rb,5,5,29,21,72.4%,177,8.4,1,26,4.2,35.4,2
191,192,Ril,PHI,28.0,WR,16,13,41,21,51.2%,327,15.6,2,62,1.3,20.4,0
192,193,Lan,DAL,25.0,,4,0,23,21,91.3%,215,10.2,0,39,5.3,53.8,0
193,194,Dar,ARI,29.0,TE,14,12,28,21,75.0%,311,14.8,3,48,1.5,22.2,0
